iter	Logloss
0	0.5891338073
1	0.5107589379
2	0.4455002874
3	0.3972449248
4	0.3610652187
5	0.3309888892
6	0.3076524836
7	0.2861186606
8	0.2671395263
9	0.2522689967
10	0.2377660997
11	0.2253216871
12	0.2123884445
13	0.2033319736
14	0.1940735038
15	0.1866950841
16	0.1805213806
17	0.1749946481
18	0.1707484468
19	0.1654202588
20	0.1607843365
21	0.1575223921
22	0.1547615437
23	0.151192703
24	0.1478254682
25	0.1457821263
26	0.1426407465
27	0.1410624803
28	0.1395887193
29	0.1378593838
30	0.1353175331
31	0.1337329089
32	0.1319544258
33	0.1302729467
34	0.1290965018
35	0.1280613183
36	0.1264076971
37	0.1253379477
38	0.123906956
39	0.122457604
40	0.1212329289
41	0.1197086702
42	0.1182176325
43	0.1172787623
44	0.1154761128
45	0.1139205263
46	0.1126691745
47	0.1119427418
48	0.1108914635
49	0.1099749185
50	0.1094509666
51	0.1082786523
52	0.1072324423
53	0.1062421902
54	0.1054716404
55	0.1050234731
56	0.1042874294
57	0.1036130816
58	0.1029625607
59	0.1021438938
60	0.1017971985
61	0.1012091221
62	0.1005963644
63	0.1000157823
64	0.09949332606
65	0.0989846821
66	0.09829145876
67	0.09761785324
68	0.09711817975
69	0.09628388978
70	0.09573180839
71	0.09498497884
72	0.09441762886
73	0.0939628383
74	0.0930533329
75	0.09257791707
76	0.09201915648
77	0.09135850606
78	0.09099460018
79	0.09049244633
80	0.08998904344
81	0.08957533066
82	0.08911487572
83	0.08855058496
84	0.08787822825
85	0.08720456308
86	0.08686295439
87	0.08663444135
88	0.08627495581
89	0.08582776034
90	0.0855172829
91	0.08522692403
92	0.08468591413
93	0.08418191704
94	0.08397344629
95	0.08357700177
96	0.08300315143
97	0.0827094486
98	0.08233422015
99	0.08188783418
100	0.08135804453
101	0.08096091562
102	0.08059927773
103	0.08043180944
104	0.0799629712
105	0.07960659098
106	0.07931004467
107	0.07898688699
108	0.07870819144
109	0.0783684552
110	0.07800524809
111	0.07780677063
112	0.07748249099
113	0.07716113581
114	0.0768831018
115	0.0766929871
116	0.07643334833
117	0.07624203797
118	0.07582617515
119	0.0755065974
120	0.07517882395
121	0.07502259308
122	0.07462577922
123	0.07448109955
124	0.07423191069
125	0.07403031156
126	0.07374787385
127	0.07346701405
128	0.07327005341
129	0.07301205683
130	0.07266336088
131	0.07250218237
132	0.07226983873
133	0.07192170504
134	0.07146498656
135	0.07128732326
136	0.07098854857
137	0.07078806323
138	0.0705472263
139	0.07033930646
140	0.07012056751
141	0.06993276391
142	0.06979612049
143	0.06941422297
144	0.06927447084
145	0.06909519888
146	0.06894017828
147	0.0687931336
148	0.06858747592
149	0.06842312907
150	0.06824105589
151	0.06808126123
152	0.06769329935
153	0.06759279605
154	0.06736562849
155	0.06714698608
156	0.06700443348
157	0.06680973025
158	0.06665138545
159	0.06642595766
160	0.06626919036
161	0.06612866377
162	0.0659087096
163	0.06563022245
164	0.06535752698
165	0.06510500275
166	0.06481442781
167	0.06457562763
168	0.06438676384
169	0.0642242794
170	0.06401659837
171	0.0639141012
172	0.06378990018
173	0.06354768478
174	0.06339398457
175	0.06327171193
176	0.06311219812
177	0.0628478115
178	0.06268155909
179	0.06254821995
180	0.06222538922
181	0.0620302927
182	0.06187235645
183	0.06172063689
184	0.06151667367
185	0.06123401961
186	0.06096008772
187	0.06086683314
188	0.06071160201
189	0.06060799319
190	0.06037703945
191	0.0602945474
192	0.06014651147
193	0.05994867825
194	0.05982908681
195	0.05955406488
196	0.05937601028
197	0.05915093827
198	0.05902859582
199	0.05896710189
200	0.05884006263
201	0.0586972657
202	0.05856326052
203	0.05833025579
204	0.05822681454
205	0.05810348146
206	0.05789833637
207	0.0576686807
208	0.05753669139
209	0.05738596546
210	0.05717872095
211	0.05701893753
212	0.05682220961
213	0.05673047629
214	0.05669131265
215	0.0564272281
216	0.05626078826
217	0.05609258787
218	0.05592769406
219	0.05572846621
220	0.05564228285
221	0.05553669472
222	0.055403465
223	0.05520942372
224	0.05506951235
225	0.05496123747
226	0.05485778435
227	0.05479056514
228	0.05457047115
229	0.0543712397
230	0.0542308951
231	0.05412105051
232	0.05394089727
233	0.05377358008
234	0.05361415866
235	0.05339571342
236	0.05319097162
237	0.05311548627
238	0.05305270593
239	0.05297559513
240	0.05277432387
